,Model,Type,Type,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
21,Building 20.5335.1,2,Elect,0.837393423,0.635657549,0.818640964,0.854930855,0.673568819,2.84E-51,0.066362066,0.865280289,0.779850746,0.890232558,0.737213404,0.890232558,0.865280289,0.877579092,0.673568819,0.582825822,0.654689403,0.822565518
22,Building 21.5340.1,2,Elect,0.841656516,0.667033233,0.823086626,0.85899574,0.630328867,6.30E-80,0.000253177,0.845410628,0.835255354,0.897435897,0.76011994,0.897435897,0.845410628,0.870646766,0.630328867,0.532886724,0.593788063,0.840332991
23,Building 22.5351.1,2,Elect,0.769183922,0.537964787,0.748028041,0.789373028,0.529841657,1.55E-89,0.064429547,0.76091954,0.778497409,0.794717887,0.74289246,0.794717887,0.76091954,0.777451556,0.529841657,0.40316687,0.507308161,0.769708475
24,Building 23.5352.1,2,Elect,0.869671133,0.70137031,0.852420461,0.885587768,0.695493301,8.19E-62,0.0002912,0.882661996,0.84,0.926470588,0.758122744,0.926470588,0.882661996,0.904035874,0.695493301,0.613885505,0.662606577,0.861330998
25,Building 24.5355.1,2,Elect,0.827040195,0.612829735,0.807862219,0.84504105,0.665042631,3.95E-49,0.766699058,0.867216117,0.747272727,0.872007366,0.739208633,0.872007366,0.867216117,0.869605142,0.665042631,0.576735688,0.661388551,0.807244422
26,Building 25.5356.1,2,Elect,0.880633374,0.717936673,0.863963042,0.895928863,0.713763703,1.50E-59,8.55E-05,0.892491468,0.85106383,0.937275986,0.760456274,0.937275986,0.892491468,0.914335664,0.713763703,0.637028015,0.679658952,0.871777649
27,Building 26.5357.1,2,Elect,0.861144945,0.695745034,0.84346932,0.877518117,0.665042631,1.34E-73,0.000448089,0.870879121,0.841818182,0.916184971,0.766556291,0.916184971,0.870879121,0.892957746,0.665042631,0.579171742,0.632155907,0.856348651
28,Building 26.5358.1,2,Elect,0.84591961,0.540341016,0.827536784,0.863056108,0.77953715,8.76E-12,0.131332756,0.9109375,0.616022099,0.89348659,0.661721068,0.89348659,0.9109375,0.90212766,0.77953715,0.710109622,0.794762485,0.7634798
29,Building 28.28096.1,2,Elect,0.879415347,0.595281546,0.862678528,0.894781871,0.81181486,9.45E-14,0.176929006,0.933233308,0.647249191,0.919438285,0.692041522,0.919438285,0.933233308,0.926284438,0.81181486,0.757612667,0.823995128,0.79024125
30,Building 30.28161.1,2,Elect,0.887332521,0.742658084,0.871037411,0.902227721,0.703410475,2.73E-71,1.65E-09,0.883982684,0.895277207,0.952425373,0.764912281,0.952425373,0.883982684,0.916928604,0.703410475,0.62180268,0.652862363,0.889629946
31,Building 30.28162.1,2,Elect,0.854445798,0.683282247,0.836451207,0.87116267,0.644945189,5.90E-81,0.604823233,0.882908404,0.802744425,0.89047619,0.790540541,0.89047619,0.882908404,0.88667615,0.644945189,0.569427527,0.639464068,0.842826415
32,Building 29.28168.1,2,Elect,0.844701583,0.665181463,0.826264843,0.861896472,0.615103532,1.08E-92,2.06E-05,0.743670886,0.907920792,0.834813499,0.849860982,0.834813499,0.743670886,0.786610879,0.384896468,0.286236297,0.342874543,0.825795839
33,Building 31.30602.1,2,Elect,0.848964677,0.629777384,0.830718305,0.865953521,0.700974421,1.88E-44,0.004269888,0.912250217,0.700610998,0.877192982,0.773033708,0.877192982,0.912250217,0.894378194,0.700974421,0.639464068,0.728989038,0.806430608
34,Building 13.75689.1,1,dist_heating,0.862971985,0.702050204,0.845385584,0.879249176,0.640682095,3.21E-91,0.893929767,0.894486692,0.806779661,0.891943128,0.810902896,0.891943128,0.894486692,0.893213099,0.640682095,0.573081608,0.642509135,0.850633177
